Item,Quantity,Unit Price (USD),Total Price (USD),Source
PCB + PCBA,1,154.46,154.46,https://jlcpcb.com
PCB Shipping,1,17.32,17.32,https://jlcpcb.com
Brushless Motor,2,15.20,30.40,https://robu.in/product/r2207-2207-2450kv-ccw-fpv-brushless-motor/
ESC,2,8.91,17.82,https://robocraze.com/products/simplifly-esc-30a-2s-6s-for-bldc-motors-with-d-shot-oneshot125
Receiver/Transmitter,1,62.00,62.00,https://<replace-with-correct-product-url>
12V Battery,1,5.78,5.78,https://robocraze.com/products/11-1v-2200mah-li-ion-battery?_pos=18&_sid=25292ddd5&_ss=r
SG90 Servo,2,0.96,1.92,https://robocraze.com/products/sg90-micro-servo-motor?_pos=1&_sid=88e48e080&_ss=r
3D Print of Plane , 1 , 41.86 , zbotic.in
